Category,Product Name,Quanaity,Price,Total Price
Fuscia,Chicken - Leg / Back Attach,12,318.04,3816.48
Maroon,Fiddlehead - Frozen,11,273.54,3008.94
Fuscia,"Beans - Black Bean, Preserved",8,149.86,1198.88
Mauv,"Yogurt - Strawberry, 175 Gr",14,163.93,2295.02
Red,Vector Energy Bar,9,466.49,4198.41
Blue,Pie Filling - Apple,7,364.03,2548.21
Orange,Tuna - Yellowfin,13,104.31,1356.03
Mauv,V8 Splash Strawberry Banana,1,107.73,107.73
Turquoise,Soup - Campbellschix Stew,3,479.93,1439.79
Puce,Green Scrubbie Pad H.duty,1,416.9,416.9
